"","species","n"
"112","Fritillaria pellucida",113
"113","Nemadactylus macropterus",112
"114","Trachyrincus longirostris",111
"115","Etmopterus lucifer",109
"116","Kogia sima",108
"117","Orcinus orca",108
"118","Lampanyctus tenuiformis",107
"119","Squalus acanthias",106
"120","Diaphus theta",104
"121","Fulmarus glacialis",102
"122","Fulmarus glacialoides",102
"123","Thalassarche cauta",102
"124","Pachyptila salvini",101
"125","Zeus faber",101
"126","Notacanthus sexspinis",100
"127","Salpa fusiformis",100
"128","Tragulichthys jaculiferus",100
"129","Procellaria cinerea",99
"130","Nemichthys scolopaceus",98
"131","Cheilopogon xenopterus",95
"132","Hoplostethus mediterraneus",93
"133","Trachyscorpia eschmeyeri",92
"134","Cubiceps pauciradiatus",90
"135","Myctophum lunatum",90
"136","Protomyctophum thompsoni",90
"137","Scorpaena papillosa",89
"138","Tactostoma macropus",88
"139","Zenopsis nebulosa",86
"140","Merluccius australis",85
"141","Cyclothone alba",84
"142","Centroberyx affinis",81
"143","Fregetta grallaria",81
"144","Gadomus aoteanus",79
"145","Bassanago hirsutus",77
"146","Neoachiropsetta milfordi",77
"147","Sigmops gracilis",77
"148","Carcharodon carcharias",76
"149","Megaptera novaeangliae",76
"150","Pterodroma macroptera",75
"151","Trachyrincus aphyodes",75
"152","Melamphaes lugubris",73
"153","Macronectes halli",72
"154","Beryx splendens",71
"155","Pseudorca crassidens",70
"156","Phoebetria fusca",68
"157","Dalatias licha",67
"158","Sigmops elongatus",67
"159","Kathetostoma giganteum",66
"160","Centrophorus squamosus",64
"161","Coelorinchus aspercephalus",64
"162","Antimora microlepis",63
"163","Hirundichthys speculiger",63
"164","Pterygotrigla picta",63
"165","Chaunax pictus",62
"166","Hirundichthys marginatus",62
"167","Salpa thompsoni",61
"168","Chauliodus macouni",60
"169","Prionace glauca",60
"170","Protomyctophum crockeri",60
"171","Squalus blainville",60
"172","Seriolella caerulea",59
"173","Hygophum reinhardtii",57
"174","Allomycterus pilatus",56
"175","Coryphaena equiselis",56
"176","Pachyptila vittata",55
"177","Gempylus serpens",54
"178","Rexea solandri",54
"179","Beryx decadactylus",51
"180","Centriscops humerosus",51
"181","Phocoenoides dalli",51
"182","Centroscymnus coelolepis",49
"183","Meuschenia scaber",49
"184","Diogenichthys laternatus",48
"185","Cyclothone pseudopallida",47
"186","Diaphus nielseni",47
"187","Diretmichthys parini",47
"188","Lampanyctus omostigma",47
"189","Macronectes giganteus",47
"190","Ambophthalmos angustus",46
"191","Coelorinchus oliverianus",46
"192","Diomedea epomophora",46
"193","Lepidopus caudatus",46
"194","Pteroplatytrygon violacea",46
"195","Chelonia mydas",45
"196","Lipolagus ochotensis",45
"197","Macroramphosus scolopax",45
"198","Ptychoramphus aleuticus",45
"199","Isistius brasiliensis",44
"200","Callorhinus ursinus",43
"201","Centrolophus niger",43
"202","Cololabis saira",43
"203","Coryphaenoides dossenus",43
"204","Nannobrachium ritteri",43
"205","Tarletonbeania crenularis",43
"206","Avocettina infans",42
"207","Hoplichthys haswelli",42
"208","Lampanyctus jordani",42
"209","Myctophum selenops",42
"210","Pachyptila crassirostris",41
"211","Pelagopleura verticalis",41
"212","Diaphus garmani",40
"213","Halosaurus pectoralis",40
"214","Kuronezumia bubonis",40
"215","Pseudocyttus maculatus",40
"216","Coelorinchus bollonsi",39
"217","Coryphaena hippurus",39
"218","Howella sherborni",39
"219","Hydrolagus ogilbyi",39
"220","Talismania longifilis",39
"221","Argyropelecus lychnus",38
"222","Coelorinchus kermadecus",38
"223","Electrona subaspera",38
"224","Feresa attenuata",38
"225","Lagenodelphis hosei",38
"226","Pseudopentaceros richardsoni",37
"227","Oikopleura (Coecaria) gracilis",36
"228","Polyprion oxygeneios",36
"229","Squalus megalops",36
"230","Encrasicholina punctifer",35
"231","Helicolenus avius",35
"232","Idiacanthus antrostomus",35
"233","Symbolophorus californiensis",35
"234","Centroberyx gerrardi",34
"235","Tarletonbeania taylori",34
"236","Emmelichthys nitidus",33
"237","Gonostoma atlanticum",33
"238","Oceanites oceanicus",33
"239","Scomberesox saurus",33
"240","Thalassoica antarctica",33
"241","Cryptopsaras couesii",32
"242","Lutjanus fulvus",32
"243","Phoebastria albatrus",32
"244","Thermarces cerberus",32
"245","Melanocetus johnsonii",31
"246","Antigonia capros",30
"247","Antigonia rubescens",30
"248","Argyropelecus hemigymnus",30
"249","Callanthias allporti",30
"250","Epigonus lenimen",30
"251","Nealotus tripes",30
"252","Polymixia japonica",30
"253","Pterodroma mollis",30
"254","Arctocephalus gazella",29
"255","Bathysaurus ferox",29
"256","Contusus richei",29
"257","Grammatonotus laysanus",29
"258","Puffinus assimilis",29
"259","Stomias affinis",29
"260","Taaningichthys bathyphilus",29
"261","Vinciguerria attenuata",29
"262","Vinciguerria poweriae",29
"263","Barbourisia rufa",28
"264","Thalassarche bulleri",28
"265","Benthosema suborbitale",27
"266","Diplophos taenia",27
"267","Gollum attenuatus",27
"268","Oikopleura (Vexillaria) parva",27
"269","Paraulopus nigripinnis",27
"270","Ruvettus pretiosus",27
"271","Synaphobranchus affinis",27
"272","Thunnus albacares",27
"273","Tubbia tasmanica",27
"274","Ariomma luridum",26
"275","Bythaelurus dawsoni",26
"276","Chlorophthalmus albatrossis",26
"277","Chlorurus sordidus",26
"278","Coelorinchus mirus",26
"279","Dipturus innominatus",26
"280","Gomphosus varius",26
"281","Isurus oxyrinchus",26
"282","Leuroglossus schmidti",26
"283","Pentaceros japonicus",26
"284","Tetragonurus cuvieri",26
"285","Argyropelecus aculeatus",25
"286","Caprodon longimanus",25
"287","Cyttus australis",25
"288","Electrona risso",25
"289","Katsuwonus pelamis",25
"290","Lucigadus nigromaculatus",25
"291","Microstomus pacificus",25
"292","Nannobrachium hawaiiensis",25
"293","Naucrates ductor",25
"294","Plectroglyphidodon dickii",25
"295","Balaena mysticetus",24
"296","Bathophilus flemingi",24
"297","Bregmaceros bathymaster",24
"298","Catharacta lonnbergi",24
"299","Chascanopsetta prorigera",24
"300","Helicolenus lengerichi",24
"301","Hydrolagus novaezealandiae",24
"302","Lestidiops ringens",24
"303","Nezumia namatahi",24
"304","Scopelogadus mizolepis",24
"305","Trachinocephalus myops",24
"306","Valenciennellus tripunctulatus",24
"307","Zalanthias kelloggi",24
"308","Bathyraja shuntovi",23
"309","Brama dussumieri",23
"310","Capromimus abbreviatus",23
"311","Chaunax fimbriatus",23
"312","Dasyatis brevicaudata",23
"313","Diomedea sanfordi",23
"314","Physiculus hexacytus",23
"315","Puffinus bulleri",23
"316","Ceratoscopelus townsendi",22
"317","Epigonus telescopus",22
"318","Eretmochelys imbricata",22
"319","Hoplostethus gigas",22
"320","Hydrolagus homonycteris",22
"321","Melanolagus bericoides",22
"322","Oikopleura (Vexillaria) dioica",22
"323","Phaethon rubricauda",22
"324","Seriola lalandi",22
"325","Seriolella punctata",22
"326","Thunnus alalunga",22
"327","Aphrodroma brevirostris",21
"328","Carcharhinus falciformis",21
"329","Centroscymnus plunketi",21
"330","Coelorinchus australis",21
"331","Euprotomicrus bispinatus",21
"332","Lampadena luminosa",21
"333","Priacanthus hamrur",21
"334","Psenes sio",21
"335","Remora remora",21
"336","Trachurus declivis",21
"337","Tripterophycis gilchristi",21
"338","Carcharhinus longimanus",20
"339","Dascyllus aruanus",20
"340","Electrona carlsbergi",20
"341","Eustomias macrurus",20
"342","Gonichthys tenuiculus",20
"343","Lophiodes miacanthus",20
"344","Melamphaes parvus",20
"345","Nansenia candida",20
"346","Oxyporhamphus micropterus",20
"347","Pelecanoides urinatrix",20
"348","Pentaceros decacanthus",20
"349","Rosenblattia robusta",20
"350","Simenchelys parasitica",20
"351","Arnoglossus multirastris",19
"352","Bathophilus filifer",19
"353","Etmopterus pusillus",19
"354","Galeorhinus galeus",19
"355","Hoplostethus intermedius",19
"356","Lutjanus monostigma",19
"357","Nannobrachium fernae",19
"358","Neoscopelus macrolepidotus",19
"359","Pelagodroma marina",19
"360","Phosichthys argenteus",19
"361","Remora osteochir",19
"362","Xiphias gladius",19
"363","Acanthurus nigricans",18
"364","Astronesthes cyaneus",18
"365","Cheilopogon dorsomacula",18
"366","Coelorinchus mycterismus",18
"367","Diaphus problematicus",18
"368","Fistularia petimba",18
"369","Maurolicus muelleri",18
"370","Notoscopelus resplendens",18
"371","Procellaria parkinsoni",18
"372","Pterygotrigla polyommata",18
"373","Rexea antefurcata",18
"374","Satyrichthys engyceros",18
"375","Scorpaena cardinalis",18
"376","Xenodermichthys copei",18
"377","Anoplogaster cornuta",17
"378","Antimora rostrata",17
"379","Astronesthes trifibulatus",17
"380","Diaphus perspicillatus",17
"381","Diplospinus multistriatus",17
"382","Dolioletta gegenbauri",17
"383","Hirundichthys rondeletii",17
"384","Loweina rara",17
"385","Malacocephalus laevis",17
"386","Opostomias mitsuii",17
"387","Pterodroma ultima",17
"388","Scopelarchus guentheri",17
"389","Scopelosaurus hoedti",17
"390","Aristostomias scintillans",16
"391","Bathyraja spinosissima",16
"392","Bolinichthys pyrsobolus",16
"393","Brama brama",16
"394","Brochiraja asperula",16
"395","Cololabis adocetus",16
"396","Diaphus hudsoni",16
"397","Diaphus mollis",16
"398","Diaphus termophilus",16
"399","Genyagnus monopterygius",16
"400","Glossanodon danieli",16
"401","Lagenorhynchus obliquidens",16
"402","Macrourus carinatus",16
"403","Mesoplodon densirostris",16
"404","Mesoplodon peruvianus",16
"405","Parabothus coarctatus",16
"406","Pseudocaranx dentex",16
"407","Remora brachyptera",16
"408","Seriolella tinro",16
"409","Stercorarius longicaudus",16
"410","Stylephorus chordatus",16
"411","Sudis atrox",16
"412","Trachonurus villosus",16
"413","Vinciguerria lucetia",16
"414","Zearaja nasuta",16
"415","Benthosema fibulatum",15
"416","Centrobranchus nigroocellatus",15
"417","Cephalopholis argus",15
"418","Cetonurus crassiceps",15
"419","Chelidonichthys kumu",15
"420","Danaphos oculatus",15
"421","Diaphus danae",15
"422","Etmopterus litvinovi",15
"423","Euclichthys polynemus",15
"424","Eurypharynx pelecanoides",15
"425","Garrodia nereis",15
"426","Herdmania momus",15
"427","Lobianchia gemellarii",15
"428","Lutjanus gibbus",15
"429","Myctophum phengodes",15
"430","Nannobrachium lineatum",15
"431","Onychoprion fuscatus",15
"432","Pachyptila belcheri",15
"433","Phallusia nigra",15
"434","Poromitra crassiceps",15
"435","Rouleina eucla",15
"436","Seriolella brama",15
"437","Bembradium roseum",14
"438","Chelmonops truncatus",14
"439","Cyema atrum",14
"440","Deania quadrispinosa",14
"441","Epigonus elegans",14
"442","Eustomias bifilis",14
"443","Globicephala melas",14
"444","Gonichthys venetus",14
"445","Idiolychnus urolampus",14
"446","Lactoria diaphana",14
"447","Lampadena urophaos",14
"448","Lampanyctus festivus",14
"449","Merluccius gayi",14
"450","Parexocoetus brachypterus",14
"451","Saurida tumbil",14
"452","Scopelopsis multipunctatus",14
"453","Squalus griffini",14
"454","Squalus mitsukurii",14
"455","Thunnus obesus",14
"456","Apristurus ampliceps",13
"457","Arothron hispidus",13
"458","Balaenoptera borealis",13
"459","Bathygadus cottoides",13
"460","Bathypterois longifilis",13
"461","Chaetodon trifascialis",13
"462","Coccorella atlantica",13
"463","Cyclothone microdon",13
"464","Gonorynchus abbreviatus",13
"465","Hippocampus abdominalis",13
"466","Labroides dimidiatus",13
"467","Lampichthys procerus",13
"468","Lestidiops jayakari",13
"469","Malthopsis tiarella",13
"470","Melanonus gracilis",13
"471","Neosebastes pandus",13
"472","Nesiarchus nasutus",13
"473","Odontaspis noronhai",13
"474","Pentaceros richardsoni",13
"475","Pollichthys mauli",13
"476","Rhincodon typus",13
"477","Scarus frenatus",13
"478","Spectrunculus grandis",13
"479","Sternoptyx pseudodiaphana",13
"480","Symbolophorus rufinus",13
"481","Thalassoma lunare",13
"482","Trachonurus gagates",13
"483","Zanclistius elevatus",13
"484","Acanthocybium solandri",12
"485","Agonostomus monticola",12
"486","Alepisaurus ferox",12
"487","Allocyttus niger",12
"488","Arctozenus risso",12
"489","Astronesthes splendidus",12
"490","Brochiraja spinifera",12
"491","Careproctus hyaleius",12
"492","Chaunax latipunctatus",12
"493","Chlorophthalmus ichthyandri",12
"494","Cyclothone acclinidens",12
"495","Epigonus robustus",12
"496","Etelis carbunculus",12
"497","Etmopterus molleri",12
"498","Etmopterus unicolor",12
"499","Eustomias bulbornatus",12
"500","Eustomias enbarbatus",12
"501","Eustomias schmidti",12
"502","Hydrolagus lemures",12
"503","Icichthys lockingtoni",12
"504","Lampanyctus alatus",12
"505","Lampanyctus australis",12
"506","Lampanyctus nobilis",12
"507","Lepidion inosimae",12
"508","Mesobius antipodum",12
"509","Mola mola",12
"510","Nannobrachium bristori",12
"511","Paraulopus okamurai",12
"512","Peponocephala electra",12
"513","Photonectes margarita",12
"514","Prognichthys sealei",12
"515","Protomyctophum normani",12
"516","Psenes pellucidus",12
"517","Pseudogramma polyacantha",12
"518","Rouleina attrita",12
"519","Scopelarchus analis",12
"520","Stomias boa",12
"521","Symbolophorus boops",12
"522","Adelosebastes latens",11
"523","Alertichthys blacki",11
"524","Argyropelecus gigas",11
"525","Azygopus pinnifasciatus",11
"526","Benthodesmus tenuis",11
"527","Brama japonica",11
"528","Callanthias parini",11
"529","Cetonurus globiceps",11
"530","Coryphaenoides murrayi",11
"531","Coryphaenoides striaturus",11
"532","Ctenochaetus striatus",11
"533","Cyclothone atraria",11
"534","Electrona antarctica",11
"535","Eudyptes chrysolophus",11
"536","Eustomias woollardi",11
"537","Gadus chalcogrammus",11
"538","Lepidocybium flavobrunneum",11
"539","Microlophichthys microlophus",11
"540","Mustelus antarcticus",11
"541","Nannobrachium atrum",11
"542","Nomeus gronovii",11
"543","Paraulopus brevirostris",11
"544","Pentaceros quinquespinis",11
"545","Phoebastria irrorata",11
"546","Photonectes albipennis",11
"547","Prognichthys tringa",11
"548","Protomyctophum subparallelum",11
"549","Pseudobathylagus milleri",11
"550","Pseudocarcharias kamoharai",11
"551","Pterygotrigla andertoni",11
"552","Salpa maxima",11
"553","Sargocentron rubrum",11
"554","Saurida gracilis",11
"555","Trachyscorpia carnomagula",11
"556","Anoplopoma fimbria",10
"557","Ascidia sydneiensis",10
"558","Balaenoptera acutorostrata",10
"559","Bathylagus pacificus",10
"560","Bembrops filiferus",10
"561","Bothus pantherinus",10
"562","Cephaloscyllium isabellum",10
"563","Chaetodon lunulatus",10
"564","Cubiceps caeruleus",10
"565","Cyttus novaezealandiae",10
"566","Diaphus ostenfeldi",10
"567","Diodon nicthemerus",10
"568","Diretmus argenteus",10
"569","Epigonus denticulatus",10
"570","Forsterygion varium",10
"571","Fratercula cirrhata",10
"572","Gnathophis habenatus",10
"573","Gnathophis nystromi",10
"574","Gymnocranius grandoculis",10
"575","Hemilepidotus zapus",10
"576","Heptranchias perlo",10
"577","Hoplichthys citrinus",10
"578","Hymenocephalus nascens",10
"579","Krefftichthys anderssoni",10
"580","Lepidion microcephalus",10
"581","Lepidion schmidti",10
"582","Myctophum lychnobium",10
"583","Nezumia propinqua",10
"584","Paradiplospinus gracilis",10
"585","Paratrachichthys trailli",10
"586","Promethichthys prometheus",10
"587","Psenes cyanophrys",10
"588","Psychrolutes phrictus",10
"589","Rouleina guentheri",10
"590","Sigmops bathyphilus",10
"591","Sigmops ebelingi",10
"592","Sio nordenskjoldii",10
"593","Stercorarius skua",10
"594","Thalassoma hardwicke",10
"595","Zenopsis oblonga",10
"596","Aristostomias xenostoma",9
"597","Benthodesmus elongatus",9
"598","Callanthias australis",9
"599","Canthidermis maculata",9
"600","Chromis margaritifer",9
"601","Coelorinchus supernasutus",9
"602","Diaphus schmidti",9
"603","Diodon eydouxii",9
"604","Echinorhinus cookei",9
"605","Etmopterus pycnolepis",9
"606","Fritillaria formica",9
"607","Gonorynchus greyi",9
"608","Gymnoscopelus bolini",9
"609","Hygophum hanseni",9
"610","Hygophum hygomii",9
"611","Hyperoglyphe japonica",9
"612","Ichthyococcus elongatus",9
"613","Labroides rubrolabiatus",9
"614","Lamna nasus",9
"615","Lepidotrigla vanessa",9
"616","Lissodelphis borealis",9
"617","Maurolicus rudjakovi",9
"618","Melanostomias melanops",9
"619","Nannobrachium achirus",9
"620","Numenius phaeopus",9
"621","Osopsaron karlik",9
"622","Pleuroscopus pseudodorsalis",9
"623","Pomacentrus coelestis",9
"624","Psenes arafurensis",9
"625","Pseudopentaceros wheeleri",9
"626","Pterygotrigla pauli",9
"627","Thalassoma amblycephalum",9
"628","Zu cristatus",9
"629","Argyropelecus affinis",8
"630","Argyropelecus sladeni",8
"631","Benthalbella dentata",8
"632","Bregmaceros atlanticus",8
"633","Carcharhinus tilstoni",8
"634","Chaetodon lunula",8
"635","Chauliodus barbatus",8
"636","Coelorinchus kaiyomaru",8
"637","Conger verreauxi",8
"638","Coryphaenoides acrolepis",8
"639","Coryphaenoides cinereus",8
"640","Derichthys serpentinus",8
"641","Diaphus effulgens",8
"642","Diplosoma listerianum",8
"643","Echiodon cryomargarites",8
"644","Evermannella indica",8
"645","Gasterosteus aculeatus",8
"646","Gonichthys barnesi",8
"647","Himantolophus appelii",8
"648","Hirundichthys albimaculatus",8
"649","Kathetostoma nigrofasciatum",8
"650","Laemonema rhodochir",8
"651","Lagocephalus lagocephalus",8
"652","Lampadena yaquinae",8
"653","Lampanyctus pusillus",8
"654","Macropinna microstoma",8
"655","Mulloidichthys vanicolensis",8
"656","Nannobrachium crypticum",8
"657","Phtheirichthys lineatus",8
"658","Polyipnus tridentifer",8
"659","Protomyctophum tenisoni",8
"660","Pterycombus petersii",8
"661","Sagamichthys abei",8
"662","Scopelogadus beanii",8
"663","Stemonosudis macrura",8
"664","Tetrapturus angustirostris",8
"665","Trachipterus trachypterus",8
"666","Trachurus murphyi",8
"667","Trachyscorpia cristulata",8
"668","Abudefduf septemfasciatus",7
"669","Acanthurus xanthopterus",7
"670","Albatrossia pectoralis",7
"671","Antigonia eos",7
"672","Appendicularia sicula",7
"673","Benthodesmus tuckeri",7
"674","Berardius bairdii",7
"675","Brama orcini",7
"676","Carcharhinus brachyurus",7
"677","Centrobranchus andreae",7
"678","Chimaera phantasma",7
"679","Coryphaenoides mcmillani",7
"680","Cyclothone signata",7
"681","Decapterus russelli",7
"682","Diaphus coeruleus",7
"683","Diaphus phillipsi",7
"684","Echiostoma barbatum",7
"685","Electrona paucirastra",7
"686","Emmelichthys elongatus",7
"687","Epigonus fragilis",7
"688","Gephyroberyx darwinii",7
"689","Gephyroberyx japonicus",7
"690","Hozukius guyotensis",7
"691","Ichthyococcus irregularis",7
"692","Istiophorus platypterus",7
"693","Lampanyctus parvicauda",7
"694","Larus argentatus",7
"695","Lepidoperca magna",7
"696","Makaira mazara",7
"697","Malacosteus niger",7
"698","Masturus lanceolatus",7
"699","Melanonus zugmayeri",7
"700","Myripristis murdjan",7
"701","Neocaristius heemstrai",7
"702","Nezumia coheni",7
"703","Normichthys yahganorum",7
"704","Notopogon lilliei",7
"705","Opostomias micripnus",7
"706","Pachycara nazca",7
"707","Physiculus longicavis",7
"708","Polyipnus inermis",7
"709","Protomyctophum bolini",7
"710","Protomyctophum parallelum",7
"711","Pseudophycis bachus",7
"712","Pyramodon parini",7
"713","Rexea brevilineata",7
"714","Rissa tridactyla",7
"715","Rondeletia loricata",7
"716","Schedophilus maculatus",7
"717","Scombrolabrax heterolepis",7
"718","Sebastes helvomaculatus",7
"719","Sphagemacrurus richardi",7
"720","Sphoeroides pachygaster",7
"721","Stemonidium hypomelas",7
"722","Stethopristes eos",7
"723","Stomias nebulosus",7
"724","Symbolophorus barnardi",7
"725","Synaphobranchus kaupii",7
"726","Thyrsites atun",7
"727","Apristurus sinensis",6
"728","Astronesthes indicus",6
"729","Bathophilus ater",6
"730","Bathylagichthys problematicus",6
"731","Bodianus cylindriatus",6
"732","Callorhinchus milii",6
"733","Caranx melampygus",6
"734","Centrodraco striatus",6
"735","Centropyge flavissima",6
"736","Cetorhinus maximus",6
"737","Chaenophryne draco",6
"738","Chaenophryne longiceps",6
"739","Chaetodon auriga",6
"740","Chaetodon melannotus",6
"741","Chaetodon vagabundus",6
"742","Chrionema pallidum",6
"743","Chrysiptera biocellata",6
"744","Coelorinchus trachycarus",6
"745","Coryphaenoides armatus",6
"746","Coryphaenoides rudis",6
"747","Cubiceps baxteri",6
"748","Diaphus adenomus",6
"749","Diaphus brachycephalus",6
"750","Diaphus meadi",6
"751","Dolicholagus longirostris",6
"752","Elagatis bipinnulata",6
"753","Eudyptes chrysocome",6
"754","Eustomias ioani",6
"755","Fritillaria haplostoma",6
"756","Galeocerdo cuvier",6
"757","Gigantura indica",6
"758","Giuris margaritacea",6
"759","Gymnoscopelus fraseri",6
"760","Helicolenus barathri",6
"761","Helicolenus percoides",6
"762","Himantolophus stewarti",6
"763","Hydrolagus trolli",6
"764","Hymenocephalus gracilis",6
"765","Hyperoglyphe antarctica",6
"766","Icichthys australis",6
"767","Icosteus aenigmaticus",6
"768","Idiacanthus atlanticus",6
"769","Idiacanthus fasciola",6
"770","Istiblennius edentulus",6
"771","Lampadena notialis",6
"772","Latropiscis purpurissatus",6
"773","Lestidiops indopacifica",6
"774","Lobianchia dofleini",6
"775","Loweina terminata",6
"776","Lutjanus bohar",6
"777","Makaira nigricans",6
"778","Margrethia obtusirostra",6
"779","Melamphaes polylepis",6
"780","Metelectrona ventralis",6
"781","Microcosmus exasperatus",6
"782","Mulloidichthys flavolineatus",6
"783","Myctophum orientale",6
"784","Neophrynichthys latus",6
"785","Notophycis marginata",6
"786","Oikopleura (Vexillaria) rufescens",6
"787","Omegophora armilla",6
"788","Parupeneus multifasciatus",6
"789","Phalaropus lobatus",6
"790","Platyrhinoidis triseriata",6
"791","Pleurogrammus monopterygius",6
"792","Pseudocheilinus hexataenia",6
"793","Psychrolutes microporos",6
"794","Pterodroma longirostris",6
"795","Ranzania laevis",6
"796","Rhizoprionodon longurio",6
"797","Schedophilus huttoni",6
"798","Scolecenchelys breviceps",6
"799","Scopeloberyx opisthopterus",6
"800","Scopelosaurus meadi",6
"801","Scorpaenodes guamensis",6
"802","Sphyrna lewini",6
"803","Stegastes fasciolatus",6
"804","Sterna paradisaea",6
"805","Stomias gracilis",6
"806","Styela canopus",6
"807","Symplegma brakenhielmi",6
"808","Thalia orientalis",6
"809","Thysanactis dentex",6
"810","Tosarhombus neocaledonicus",6
"811","Uropterygius marmoratus",6
"812","Zameus squamulosus",6
"813","Abudefduf sexfasciatus",5
"814","Abudefduf sordidus",5
"815","Ahliesaurus brevis",5
"816","Anotopterus pharao",5
"817","Apristurus platyrhynchus",5
"818","Aptocyclus ventricosus",5
"819","Argyropelecus olfersii",5
"820","Astronesthes luetkeni",5
"821","Bassanago nielseni",5
"822","Bathophilus abarbatus",5
"823","Bathylagus antarcticus",5
"824","Bathysaurus mollis",5
"825","Brama myersi",5
"826","Centropyge bicolor",5
"827","Centroscyllium ritteri",5
"828","Chauliodus danae",5
"829","Chlamydoselachus anguineus",5
"830","Choeroichthys sculptus",5
"831","Chromis viridis",5
"832","Coelorinchus acanthiger",5
"833","Cookeolus japonicus",5
"834","Coryphaenoides grahami",5
"835","Coryphaenoides longifilis",5
"836","Diaphus metopoclampus",5
"837","Ditropichthys storeri",5
"838","Epigonus notacanthus",5
"839","Eustomias gibbsi",5
"840","Furgaleus macki",5
"841","Gadella obscurus",5
"842","Grammistes sexlineatus",5
"843","Gygis alba",5
"844","Gymnomuraena zebra",5
"845","Gymnoscopelus microlampas",5
"846","Gymnothorax nigromarginatus",5
"847","Halichoeres trimaculatus",5
"848","Helicolenus fedorovi",5
"849","Hirundichthys affinis",5
"850","Hygophum macrochir",5
"851","Hymenocephalus megalops",5
"852","Hymenocephalus semipellucidus",5
"853","Hymenocephalus striatulus",5
"854","Labrichthys unilineatus",5
"855","Lagenorhynchus cruciger",5
"856","Lampadena anomala",5
"857","Lampanyctus acanthurus",5
"858","Lepidoperca inornata",5
"859","Lepidopus calcar",5
"860","Leptonotus blainvilleanus",5
"861","Lissodelphis peronii",5
"862","Lutjanus fulviflamma",5
"863","Macrouroides inflaticeps",5
"864","Magnisudis prionosa",5
"865","Melanostomias biseriatus",5
